created_at,index,id_str,text,entities,favorite_count,retweet_count,followers_count,friends_count,datetime
2016-04-05 09:02:01,445,717276092600549377,RT @MJelenko: Auch top gelesen auf @Heute_at: @norbertghofer im öffitalk #bpw16 #bpwahl16 https://t.co/gGXxbf0wQQ,"{'user_mentions': [{'name': 'maria jelenko', 'indices': [3, 12], 'id_str': '523710974', 'screen_name': 'MJelenko', 'id': 523710974}, {'name': 'heute.at', 'indices': [35, 44], 'id_str': '21030699', 'screen_name': 'Heute_at', 'id': 21030699}, {'name': 'Norbert Hofer', 'indices': [46, 60], 'id_str': '333606989', 'screen_name': 'norbertghofer', 'id': 333606989}], 'urls': [{'indices': [90, 113], 'display_url': 'heute.at/news/politik/M…', 'expanded_url': 'http://www.heute.at/news/politik/Mit-Norbert-Hofer-im-D-Wagen-Fotos-Polizei-und-Erdogan;art23660,1273587', 'url': 'https://t.co/gGXxbf0wQQ'}], 'symbols': [], 'hashtags': [{'text': 'bpw16', 'indices': [73, 79]}, {'text': 'bpwahl16', 'indices': [80, 89]}]}",0,6,11636,304,2016-04-05 09:02:01
2016-03-25 12:57:11,446,713349008857686017,RT @RobLen: Die BIZEPS Website wurde neu gestaltet #endlich :) #gratulation  https://t.co/29aFjF1MQb,"{'user_mentions': [{'name': 'Robert Lender', 'indices': [3, 10], 'id_str': '1362291', 'screen_name': 'RobLen', 'id': 1362291}], 'urls': [{'indices': [77, 100], 'display_url': 'bizeps.or.at/bizeps-interne…', 'expanded_url': 'https://www.bizeps.or.at/bizeps-internetauftritt-erstrahlt-in-neuem-gewand/', 'url': 'https://t.co/29aFjF1MQb'}], 'symbols': [], 'hashtags': [{'text': 'endlich', 'indices': [51, 59]}, {'text': 'gratulation', 'indices': [63, 75]}]}",0,3,11636,304,2016-03-25 12:57:11
2016-03-24 20:46:31,447,713104729694474240,RT @stefan_petzner: @Claus_Pandi haider plakatierte in den 80igern im landtagswahlkampf gegen ambrozy (spö) was? genau: jetzt oder nie!,"{'user_mentions': [{'name': 'Stefan Petzner', 'indices': [3, 18], 'id_str': '301974703', 'screen_name': 'stefan_petzner', 'id': 301974703}, {'name': 'Claus Pándi', 'indices': [20, 32], 'id_str': '219991963', 'screen_name': 'Claus_Pandi', 'id': 219991963}], 'urls': [], 'symbols': [], 'hashtags': []}",0,2,11636,304,2016-03-24 20:46:31
2016-03-24 20:44:46,448,713104289498013697,"@inhumaxde Ich habe noch nie jemandem einen Pass versprochen oder zugesagt, dass ich dafür Sorge tragen werde. Ich kann das auch gar nicht.","{'user_mentions': [{'name': 'InhumaX', 'indices': [0, 10], 'id_str': '1582831771', 'screen_name': 'InhumaXDE', 'id': 1582831771}], 'urls': [], 'symbols': [], 'hashtags': []}",3,1,11636,304,2016-03-24 20:44:46
2016-03-24 20:34:20,449,713101665004560384,180 Millionen Euro für einen Pass. Das ist wirklich eine abenteuerliche Story. https://t.co/IDiWVbzTB2,"{'user_mentions': [], 'urls': [{'indices': [79, 102], 'display_url': 'news.at/a/norbert-hofe…', 'expanded_url': 'http://www.news.at/a/norbert-hofer-vorwurf-news-6284679', 'url': 'https://t.co/IDiWVbzTB2'}], 'symbols': [], 'hashtags': []}",13,8,11636,304,2016-03-24 20:34:20
2016-03-24 20:28:40,450,713100238865702912,"@inhumaxde 180 Millionen Euro für einen Pass von jemandem, der keinen Pass ausstellen kann.","{'user_mentions': [{'name': 'InhumaX', 'indices': [0, 10], 'id_str': '1582831771', 'screen_name': 'InhumaXDE', 'id': 1582831771}], 'urls': [], 'symbols': [], 'hashtags': []}",1,0,11636,304,2016-03-24 20:28:40
2016-03-22 09:33:12,451,712210509240639488,In Gedanken bei den Opfern des Terrors in Brüssel. Was für ein trauriger Tag.,"{'user_mentions': [], 'urls': [], 'symbols': [], 'hashtags': []}",32,11,11636,304,2016-03-22 09:33:12
2016-03-21 22:00:41,452,712036231887110144,"@martinthuer Vielen Dank, es war ein hartes Interview - aber auch fair. Und nach der Wahl spielen wir noch eine Runde Plants vs Zombies.","{'user_mentions': [{'name': 'Martin Thür', 'indices': [0, 12], 'id_str': '22470711', 'screen_name': 'MartinThuer', 'id': 22470711}], 'urls': [], 'symbols': [], 'hashtags': []}",8,0,11636,304,2016-03-21 22:00:41
2016-03-20 09:21:13,453,711482717943308288,@ladstaetter nicht schlecht 😄😄😄,"{'user_mentions': [{'name': 'Martin Ladstätter', 'indices': [0, 12], 'id_str': '14572802', 'screen_name': 'ladstaetter', 'id': 14572802}], 'urls': [], 'symbols': [], 'hashtags': []}",1,0,11636,304,2016-03-20 09:21:13
2016-03-20 07:58:03,454,711461790861955072,Mein Kater Robi freut sich schon auf die Mäuse im Keller der Hofburg :-) https://t.co/zy9oDDMH8K,"{'user_mentions': [], 'urls': [], 'media': [{'expanded_url': 'https://twitter.com/norbertghofer/status/711461790861955072/photo/1', 'media_url': 'http://pbs.twimg.com/media/Cd-eulzWEAErD-J.jpg', 'indices': [73, 96], 'display_url': 'pic.twitter.com/zy9oDDMH8K', 'media_url_https': 'https://pbs.twimg.com/media/Cd-eulzWEAErD-J.jpg', 'id': 711461789406466049, 'sizes': {'large': {'resize': 'fit', 'h': 1024, 'w': 1024}, 'medium': {'resize': 'fit', 'h': 600, 'w': 600}, 'small': {'resize': 'fit', 'h': 340, 'w': 340}, 'thumb': {'resize': 'crop', 'h': 150, 'w': 150}}, 'id_str': '711461789406466049', 'url': 'https://t.co/zy9oDDMH8K', 'type': 'photo'}], 'symbols': [], 'hashtags': []}",107,31,11636,304,2016-03-20 07:58:03
