,index,id_str,created_at,text,entities,favorite_count,retweet_count,followers_count,friends_count,retweeted,retweetedstatus,hashtags,user_mentioned,datetime,time
54,54,803932709798166528,2016-11-30 12:04:29,Hier mein Gespräch im LT1 OÖ-Studio vom Montag zum Nachschauen: https://t.co/g9F64d2zLt,"{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/1aQsUMYqr', 'indices': [64, 87], 'url': 'https://t.co/g9F64d2zLt', 'display_url': 'fb.me/1aQsUMYqr'}], 'hashtags': [], 'user_mentions': []}",34,1,11721,304,False,False,,0,2016-11-30 12:04:29,2016-11-30
55,55,803881276600156160,2016-11-30 08:40:06,"Liebe Österreicherinnen und Österreicher!
Liebe Freunde!

In wenigen Tagen haben wir alle die einmalige Chance,... https://t.co/ZAN50lOin3","{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/5h9X5JrXl', 'indices': [115, 138], 'url': 'https://t.co/ZAN50lOin3', 'display_url': 'fb.me/5h9X5JrXl'}], 'hashtags': [], 'user_mentions': []}",102,50,11721,304,False,False,,0,2016-11-30 08:40:06,2016-11-30
56,56,803648621044498432,2016-11-29 17:15:36,"Jetzt live im Gespräch mit der ""Presse"" und der ""Kleinen Zeitung"".
Das Gespräch kann hier verfolgt werden:... https://t.co/rr0U7AvC3o","{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/K5NXBcfE', 'indices': [110, 133], 'url': 'https://t.co/rr0U7AvC3o', 'display_url': 'fb.me/K5NXBcfE'}], 'hashtags': [], 'user_mentions': []}",43,8,11721,304,False,False,,0,2016-11-29 17:15:36,2016-11-29
57,57,803647233895886848,2016-11-29 17:10:06,"Meine Tipps für den heutigen Fernsehabend:

Um 18.45 Uhr wird mein Interview in den Puls4-News ausgestrahlt.

Um... https://t.co/PwqeZD2SQC","{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/OV8Jy6WB', 'indices': [116, 139], 'url': 'https://t.co/PwqeZD2SQC', 'display_url': 'fb.me/OV8Jy6WB'}], 'hashtags': [], 'user_mentions': []}",33,6,11721,304,False,False,,0,2016-11-29 17:10:06,2016-11-29
58,58,803636167849766917,2016-11-29 16:26:07,I posted a new photo to Facebook https://t.co/TKi8ywWxQb,"{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/6rBsWWw5z', 'indices': [33, 56], 'url': 'https://t.co/TKi8ywWxQb', 'display_url': 'fb.me/6rBsWWw5z'}], 'hashtags': [], 'user_mentions': []}",33,5,11721,304,False,False,,0,2016-11-29 16:26:07,2016-11-29
59,59,803617285319651328,2016-11-29 15:11:05,"Corinna besucht ein Gymnasium in Wien. Ob sie nach ihrer Ausbildung einen guten Job bekommt, weiß sie aber nicht.... https://t.co/LLxv4mQigY","{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/1xuVktje9', 'indices': [117, 140], 'url': 'https://t.co/LLxv4mQigY', 'display_url': 'fb.me/1xuVktje9'}], 'hashtags': [], 'user_mentions': []}",40,13,11721,304,False,False,,0,2016-11-29 15:11:05,2016-11-29
60,60,803599497972617216,2016-11-29 14:00:25,Die Bekämpfung unserer hohen Arbeitslosigkeit und die Ankurbelung unserer Wirtschaft bleiben unsere wichtigsten... https://t.co/gw8TolSdEi,"{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/1Tr7NGpJF', 'indices': [115, 138], 'url': 'https://t.co/gw8TolSdEi', 'display_url': 'fb.me/1Tr7NGpJF'}], 'hashtags': [], 'user_mentions': []}",49,11,11721,304,False,False,,0,2016-11-29 14:00:25,2016-11-29
61,61,803587351020703744,2016-11-29 13:12:09,Hier ein Zusammenschnitt meiner Aussagen aus dem Interview mit Marco Wagner. Das ganze Interview findet Ihr auf... https://t.co/8EwXlf0Y32,"{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/5p8o6L5Kv', 'indices': [115, 138], 'url': 'https://t.co/8EwXlf0Y32', 'display_url': 'fb.me/5p8o6L5Kv'}], 'hashtags': [], 'user_mentions': []}",46,12,11721,304,False,False,,0,2016-11-29 13:12:09,2016-11-29
62,62,803565707829084160,2016-11-29 11:46:08,"Hier meine heutigen Medientermine.
Der Presse-Chat (ab 13.00 Uhr) kann hier verfolgt werden:... https://t.co/RXEfwOBL2c","{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/6AeaAtqV5', 'indices': [96, 119], 'url': 'https://t.co/RXEfwOBL2c', 'display_url': 'fb.me/6AeaAtqV5'}], 'hashtags': [], 'user_mentions': []}",30,6,11721,304,False,False,,0,2016-11-29 11:46:08,2016-11-29
63,63,803540659319832576,2016-11-29 10:06:36,"Gestern war ich in Oberösterreich. Interviews unter anderem mit Oberösterreichische Nachrichten, LT1, Life Radio... https://t.co/lhwEOoOdLN","{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/4nTs53F54', 'indices': [116, 139], 'url': 'https://t.co/lhwEOoOdLN', 'display_url': 'fb.me/4nTs53F54'}], 'hashtags': [], 'user_mentions': []}",33,8,11721,304,False,False,,0,2016-11-29 10:06:36,2016-11-29
64,64,803526580618280964,2016-11-29 09:10:40,Aufnahmen für Servus TV :-),"{'symbols': [], 'urls': [], 'hashtags': [], 'user_mentions': []}",36,2,11721,304,False,False,,0,2016-11-29 09:10:40,2016-11-29
65,65,803498753508438016,2016-11-29 07:20:05,"Liebe Österreicherinnen!

Heute möchte ich mich exklusiv an Sie richten.

Im Laufe der letzten Monate konnte ich... https://t.co/Ni6yztUbJW","{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/6JGyCnmIv', 'indices': [116, 139], 'url': 'https://t.co/Ni6yztUbJW', 'display_url': 'fb.me/6JGyCnmIv'}], 'hashtags': [], 'user_mentions': []}",83,36,11721,304,False,False,,0,2016-11-29 07:20:05,2016-11-29
66,66,803324802580750336,2016-11-28 19:48:52,I posted a new video to Facebook https://t.co/06UYKo6Qhj,"{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/8gVEzOpXD', 'indices': [33, 56], 'url': 'https://t.co/06UYKo6Qhj', 'display_url': 'fb.me/8gVEzOpXD'}], 'hashtags': [], 'user_mentions': []}",23,2,11721,304,False,False,,0,2016-11-28 19:48:52,2016-11-28
67,67,803284571567558656,2016-11-28 17:09:00,"Richard muss bald zum Bundesheer. Er wünscht sich einen Bundespräsidenten, der auch abseits eines Wahlkampfes auf... https://t.co/DWZBHpeG0w","{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/63uhDS50S', 'indices': [117, 140], 'url': 'https://t.co/DWZBHpeG0w', 'display_url': 'fb.me/63uhDS50S'}], 'hashtags': [], 'user_mentions': []}",39,2,11721,304,False,False,,0,2016-11-28 17:09:00,2016-11-28
68,68,803229479095123969,2016-11-28 13:30:05,"Hier das gestrige ""ATV-Meine Wahl""-Duell zum Nachschauen: https://t.co/GDS4U6VrT8","{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/R8bKNVhC', 'indices': [58, 81], 'url': 'https://t.co/GDS4U6VrT8', 'display_url': 'fb.me/R8bKNVhC'}], 'hashtags': [], 'user_mentions': []}",34,3,11721,304,False,False,,0,2016-11-28 13:30:05,2016-11-28
69,69,803199453805088768,2016-11-28 11:30:47,"Heute war ich bei ""Radio Oberösterreich"" zu Gast :-) https://t.co/3fYVx2bpbe","{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/5vN0T5V4k', 'indices': [53, 76], 'url': 'https://t.co/3fYVx2bpbe', 'display_url': 'fb.me/5vN0T5V4k'}], 'hashtags': [], 'user_mentions': []}",34,4,11721,304,False,False,,0,2016-11-28 11:30:47,2016-11-28
70,70,803185691811135488,2016-11-28 10:36:06,I posted a new photo to Facebook https://t.co/aL9wq9jA5S,"{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/17tYNaXQw', 'indices': [33, 56], 'url': 'https://t.co/aL9wq9jA5S', 'display_url': 'fb.me/17tYNaXQw'}], 'hashtags': [], 'user_mentions': []}",28,5,11721,304,False,False,,0,2016-11-28 10:36:06,2016-11-28
71,71,803153892011692032,2016-11-28 08:29:44,Herzlichen Dank für die Unterstützung :) https://t.co/afypSg8moa,"{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/8j1qjS0SU', 'indices': [41, 64], 'url': 'https://t.co/afypSg8moa', 'display_url': 'fb.me/8j1qjS0SU'}], 'hashtags': [], 'user_mentions': []}",44,12,11721,304,False,False,,0,2016-11-28 08:29:44,2016-11-28
72,72,802984874986455040,2016-11-27 21:18:07,"Danke an alle, die auf #ATV #DasDuell mit mir mitgefiebert haben! https://t.co/emUW1wkhOL","{'symbols': [], 'urls': [], 'hashtags': [{'text': 'ATV', 'indices': [23, 27]}, {'text': 'DasDuell', 'indices': [28, 37]}], 'media': [{'media_url': 'http://pbs.twimg.com/media/CyTGfEHXgAEC_c1.jpg', 'indices': [66, 89], 'type': 'photo', 'display_url': 'pic.twitter.com/emUW1wkhOL', 'media_url_https': 'https://pbs.twimg.com/media/CyTGfEHXgAEC_c1.jpg', 'id_str': '802984870561677313', 'expanded_url': 'https://twitter.com/norbertghofer/status/802984874986455040/photo/1', 'id': 802984870561677313, 'sizes': {'medium': {'h': 800, 'resize': 'fit', 'w': 1200}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'large': {'h': 1000, 'resize': 'fit', 'w': 1500}, 'small': {'h': 453, 'resize': 'fit', 'w': 680}}, 'url': 'https://t.co/emUW1wkhOL'}], 'user_mentions': []}",154,52,11721,304,False,False, ATV DasDuell,0,2016-11-27 21:18:07,2016-11-27
